data,type,operator,death,link
20-JAN-1948,Curtiss C-46,CNAC,11,/database/record.php?id=19480120-0
06-DEC-1947,Curtiss C-46,China Air Force,10,/database/record.php?id=19471206-0
27-OCT-1947,Douglas DC-3,CNAC,2,/database/record.php?id=19471027-0
17-OCT-1947,Douglas DC-3,Civil Air Transport,3,/database/record.php?id=19471017-1
31-JUL-1947,Douglas C-47 (DC-3),China Air Force,26,/database/record.php?id=19470731-0
25-APR-1947,unknown,CNAC,0+ 3,/database/record.php?id=19470425-0
21-FEB-1947,Douglas C-47 (DC-3),China Air Force,21,/database/record.php?id=19470221-0
06-FEB-1947,Douglas C-47 (DC-3),China Air Force,9,/database/record.php?id=19470206-1
28-JAN-1947,Curtiss C-46,CNAC,25,/database/record.php?id=19470128-0
25-JAN-1947,Douglas DC-3,CNAC,19,/database/record.php?id=19470125-2
05-JAN-1947,Curtiss C-46,CNAC,43,/database/record.php?id=19470105-1
25-DEC-1946,Douglas C-47 (DC-3),Central Air Transport,11+ 1,/database/record.php?id=19461225-3
25-DEC-1946,Curtiss C-46,CNAC,31,/database/record.php?id=19461225-1
25-DEC-1946,Douglas C-47 (DC-3),CNAC,19,/database/record.php?id=19461225-0
16-DEC-1946,Douglas DC-3,CNAC,5,/database/record.php?id=19461216-0
20-SEP-1946,unknown,CNAC,31,/database/record.php?id=19460920-0
13-JUL-1946,Curtiss C-46,Central Air Transport,13,/database/record.php?id=19460713-0
08-APR-1946,Douglas C-47B (DC-3),USAAF,17,/database/record.php?id=19460408-0
17-MAR-1946,Douglas C-47 (DC-3),China Air Force,20,/database/record.php?id=19460317-0
29-JAN-1946,Curtiss C-46D,USAAF,12,/database/record.php?id=19460129-1
26-JAN-1946,Douglas C-47 (DC-3),USAAF,4,/database/record.php?id=19460126-1
09-JAN-1946,Douglas C-47 (DC-3),China Air Force,18,/database/record.php?id=19460109-0
30-OCT-1945,Curtiss C-46A,USAAF,45,/database/record.php?id=19451030-1
20-OCT-1945,Douglas DC-3C,CNAC,13+ 7,/database/record.php?id=19451020-3
12-OCT-1945,Curtiss C-46F,USAAF,59,/database/record.php?id=19451012-0
05-OCT-1945,Douglas C-47B (DC-3),USAAF,6,/database/record.php?id=19451005-1
29-SEP-1945,Douglas C-47B (DC-3),USAAF,3,/database/record.php?id=19450929-1
28-SEP-1945,Douglas C-47B (DC-3),USAAF,6,/database/record.php?id=19450928-3
28-SEP-1945,Curtiss C-46D,USAAF,20,/database/record.php?id=19450928-0
11-SEP-1945,Douglas C-54G (DC-4),USAAF,4,/database/record.php?id=19450911-6
21-JUL-1945,Curtiss C-46D,USAAF,1,/database/record.php?id=19450721-1
16-JUL-1945,Douglas C-47A (DC-3),USAAF,1,/database/record.php?id=19450716-0
06-JUL-1945,Curtiss C-46A,USAAF,4,/database/record.php?id=19450706-0
04-JUL-1945,Douglas C-54B (DC-4),USAAF,5,/database/record.php?id=19450704-0
30-JUN-1945,Curtiss C-46A,USAAF,3,/database/record.php?id=19450630-1
15-JUN-1945,Douglas C-47A (DC-3),CNAC,3,/database/record.php?id=19450615-0
09-APR-1945,Douglas C-47A (DC-3),CNAC,3,/database/record.php?id=19450409-2
07-APR-1945,Curtiss C-46A,USAAF,4,/database/record.php?id=19450407-0
29-MAR-1945,Douglas C-47A (DC-3),USAAF,2,/database/record.php?id=19450329-4
17-MAR-1945,Douglas C-54B (DC-4),USAAF,4,/database/record.php?id=19450317-0
13-MAR-1945,Curtiss C-46A,USAAF,3,/database/record.php?id=19450313-6
01-MAR-1945,Douglas Dakota IV (DC-3),RAF,4,/database/record.php?id=19450301-4
07-FEB-1945,Douglas C-47B (DC-3),USAAF,37,/database/record.php?id=19450207-1
04-FEB-1945,Consolidated C-109,USAAF,5,/database/record.php?id=19450204-1
16-JAN-1945,Douglas C-47A (DC-3),CNAC,3,/database/record.php?id=19450116-1
07-JAN-1945,Douglas C-47B (DC-3),CNAC,3,/database/record.php?id=19450107-4
06-JAN-1945,Douglas C-47A (DC-3),CNAC,3,/database/record.php?id=19450106-0
