status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,link,total_airframe_hrs,cycles,ground_casualties,crash_site_elevation,collision_casualties,location_n,lat,lng,fatilities,nothing,occupants
,1946-07-13,,Curtiss C-46 Commando,Central Air Transport, registration unknown, , ,,Fatalities: 2 / Occupants:,Fatalities: 11 / Occupants:, 13 /  49, Damaged beyond repair,,"1,6 km (1 mls) from  Jinan Airport (TNA) (   China)", Initial climb (ICL),Domestic Scheduled Passenger,"Jinan Airport (TNA/ZSTN), China",?,,https://aviation-safety.net/database/record.php?id=19460713-0,,,,,,"1,6 km (1 mls) from  Jinan Airport (TNA) ",36.857201,117.216003,13,/,49
,1946-04-08,,Douglas C-47B-1-DL (DC-3),United States Army Air Force - USAAF,43-16360,20826,1944,2 Pratt & Whitney R-1830-90C,Fatalities: 4 / Occupants: 4,Fatalities: 13 / Occupants: 13, 17 /  17, Damaged beyond repair,,"near Shensi (   China) 
", En route (ENR),Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Yan'an Ershilipu Airport (ENY/ZLYA), China",,https://aviation-safety.net/database/record.php?id=19460408-0,,,,,, Shensi ,34.26486,108.95424,17,/,17
,1945-10-20,,Douglas DC-3C,China National Aviation Corporation - CNAC,104,20868,1944,,Fatalities: 6 / Occupants: 6,Fatalities: 7 / Occupants: 7, 13 /  13, Damaged beyond repair,,20 km (12.5 mls) NE of Suichang (   China), En route (ENR),Passenger,"Shanghai (unknown airport), China","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,https://aviation-safety.net/database/record.php?id=19451020-3,,,Fatalities: 7,,,20 km (12.5 mls) NE of Suichang ,28.59213,119.27602,13,/,13
,1944-05-26,,Douglas C-47A-45-DL (DC-3),China National Aviation Corporation - CNAC,82,9956,1943,,Fatalities: 2 / Occupants: 2,Fatalities: 10 / Occupants: 10, 12 /  12, Damaged beyond repair,,"southern Tibet (   China) 
", En route (ENR),Int'l Non Scheduled Passenger,"Calcutta (unknown airport), India","Dinjan Airport, India",,https://aviation-safety.net/database/record.php?id=19440526-0,,,,,,southern Tibet ,29.64594,91.11532,12,/,12
,1943-06-09,,Douglas DC-3-196A,Hamiata, URSS-N,2043,1938,,Fatalities: 4 / Occupants: 4,Fatalities: 28 / Occupants: 28, 32 /  32, Damaged beyond repair,,20 km (12.5 mls) NE of Yanchi (   China), En route (ENR),International Scheduled Passenger,"Tihwa Airport (URC/ZWWW), China","Hami Airport (HMI/ZWHM), China",,https://aviation-safety.net/database/record.php?id=19430609-4,2289.0,,,,,20 km (12.5 mls) NE of Yanchi ,42.34508,94.67305,32,/,32
,1942-03-14,ca 21:30,Douglas DC-2-221,China National Aviation Corporation - CNAC,31,1567,1937,,Fatalities: 3 / Occupants: 3,Fatalities: 10 / Occupants: 14, 13 /  17, Damaged beyond repair,,2 km (1.3 mls) from  Kunming Airport (KMG) (   China), Takeoff (TOF),Domestic Scheduled Passenger,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,https://aviation-safety.net/database/record.php?id=19420314-1,,,,,,2 km (1.3 mls) from  Kunming Airport (KMG) ,24.994713,102.74595,13,/,17
,1941-01-20,,Ford 5-AT-D Tri-Motor,China National Aviation Corporation - CNAC,23,5-AT-101,1931-05-01  (9 years 9 months),3 Pratt & Whitney R-1340 Wasp,Fatalities: 3 / Occupants: 4,Fatalities: 2 / Occupants: 2, 5 /  6, Damaged beyond repair,,"within Jiangxi Province (   China) 
", En route (ENR),Domestic Non Scheduled Passenger,?,?,,https://aviation-safety.net/database/record.php?id=19410120-0,,,,,,within Jiangxi Province ,28.67417,115.66689,5,/,6
,1940-10-29,,Douglas DC-2-221,China National Aviation Corporation - CNAC,39,1568,1937,,Fatalities: 2 / Occupants: 4,Fatalities: 7 / Occupants: 10, 9 /  14, Destroyed, Written off (damaged beyond repair),"near Changyi (   China) 
", Taxi (TXI),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,https://aviation-safety.net/database/record.php?id=19401029-0,,,,,, Changyi ,36.85884,119.39862,9,/,14
,1939-03-12,,Junkers Ju-52/3mge,Eurasia, XXIII,4074, ,,Fatalities: 0 / Occupants: 2,Fatalities: 4 / Occupants: 4, 4 /  6, Damaged beyond repair,,"near Weining (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,https://aviation-safety.net/database/record.php?id=19390312-0,,,,,, Weining ,26.85702,104.27872,4,/,6
,1938-08-24,,Douglas DC-2-221,China National Aviation Corporation - CNAC,32,1568,1937,,Fatalities: 1 / Occupants: 3,Fatalities: 13 / Occupants: 14, 14 /  17, Substantial, Repaired,"Wangmoon (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,https://aviation-safety.net/database/record.php?id=19380824-0,,,,,,Wangmoon ,22.51595,113.3926,14,/,17
,1937-08-08,,Sikorsky S-43W,China National Aviation Corporation - CNAC,NC16930,4321,1936,,Fatalities: 3 / Occupants: 4,Fatalities: 0 / Occupants: 7, 3 /  11, Damaged beyond repair,,"Chilang Point, Bias Bay (   China) 
", Landing (LDG),International Scheduled Passenger,"Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong","Shanghai (unknown airport), China",,https://aviation-safety.net/database/record.php?id=19370808-0,,,,,,"Chilang Point, Bias Bay ",22.616667,114.670278,3,/,11
,1922-03-31,10:00,Handley Page O/7,Chinese Government, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: , 14 /  14, Damaged beyond repair,,"near Beijing-Nanyuan Airport (   China) 
", Approach (APR),Domestic Non Scheduled Passenger,?,"Beijing-Nanyuan Airport (NAY/ZBNY), China",,https://aviation-safety.net/database/record.php?id=19220331-0,,,,,, Beijing-Nanyuan Airport ,39.7825,116.387778,14,/,14
