status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
Preliminary,Thursday 19 October 2006,ca 14:00,Xian Yunshuji Y-7,People's Liberation Army - Air Force - PLAAF, registration unknown, , ,,Fatalities: 2 / Occupants: ,Fatalities: 0 / Occupants: ,Fatalities: 2 / Occupants:  , Damaged beyond repair,,"near Hengshui (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20061019-1,,,,,,,,,,,,,,
,Saturday 3 June 2006,ca 15:00,Shaanxi KJ-200 (Y-8),People's Liberation Army - Air Force - PLAAF, registration unknown, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 35 / Occupants: 35,Fatalities: 40 / Occupants: 40 , Damaged beyond repair,,"near Yaocun (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20060603-0,,,,,,,,,,,,,,
Preliminary,Sunday 21 November 2004,08:20,Canadair CL-600-2B19 Regional Jet CRJ-200LR,China Yunnan Airlines, B-3072, 7697, 2002, 2 General Electric CF34-3B1,Fatalities: 6 / Occupants: 6,Fatalities: 47 / Occupants: 47,Fatalities: 53 / Occupants: 53 , Destroyed, Written off (damaged beyond repair),"near Baotou Airport (BAV) (   China) 
", Initial climb (ICL),Domestic Scheduled Passenger,"Baotou Airport (BAV/ZBOW), China","Shanghai-Hongqiao Airport (SHA/ZSSS), China",5210,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20041121-0,,,,,,,,,,Fatalities: 2,,,,
Preliminary,Tuesday 18 May 2004,ca 10:50,Ilyushin Il-76TD,, 4K-AZ27, 0053460827, 1985, 4 Soloviev D-30KP-2,Fatalities: 7 / Occupants: 7,Fatalities: 0 / Occupants: 0,Fatalities: 7 / Occupants: 7 , Damaged beyond repair,,"10 km (6.3 mls) from  Urumqi Airport (URC) (   China) 
", Initial climb (ICL),Cargo,"Urumqi Airport (URC/ZWWW), China","Baku-Heydar Aliyev International Airport (GYD/UBBB), Azerbaijan",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20040518-0,,,,,,,,,,,Azal Cargo,Silk Way Airlines,,
,Monday 2 September 2002,,Cessna 650 Citation VI,CAAC Air Traffic Management Bureau, B-7023, 650-0221, 1992, 2 Garrett TFE731-3B-100S,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"15 km (9.4 mls) from  Xichang (   China) 
", En route (ENR),Survey/research,"Xichang Airport (XIC/ZUXC), China","Xichang Airport (XIC/ZUXC), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20020902-0,,,,,,,,,,,,,,
Preliminary,Tuesday 7 May 2002,21:32,McDonnell Douglas DC-9-82 (MD-82),China Northern Airlines, B-2138, 49522/1702, 1990, 2 Pratt & Whitney JT8D-217A,Fatalities: 9 / Occupants: 9,Fatalities: 103 / Occupants: 103,Fatalities: 112 / Occupants: 112 , Destroyed, Written off (damaged beyond repair),"20 km (12.5 mls) E off  Dalian (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Dalian Airport (DLC/ZYTL), China",6163,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20020507-1,,26000,16000,,,,,,,,,,,
,Thursday 4 January 2001,,Shaanxi Yunshuji Y-8,People's Liberation Army - Air Force - PLAAF, 31243, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 8 / Occupants: 8 , Damaged beyond repair,,"near Zheng Zou Air Base (   China) 
", Approach (APR),Military,?,"Zhengzhou Air Base, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20010104-1,,,,,,,,,,,,,,
,Thursday 4 January 2001,,Shaanxi Yunshuji Y-8,People's Liberation Army - Air Force - PLAAF, 31242, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 8 / Occupants: 8 , Damaged beyond repair,,"near Zheng Zou Air Base (   China) 
", Approach (APR),Military,?,"Zhengzhou Air Base, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20010104-0,,,,,,,,,,Fatalities: 6,,,,
,Wednesday 27 September 2000,,Boeing 737,China Xinhua Airlines, registration unknown, , ,,Fatalities: 0 / Occupants: ,Fatalities: 1 / Occupants: ,Fatalities: 1 / Occupants: 143 , Unknown,,"Jinan Airport (TNA) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Baotou Airport (BAV/ZBOW), China","Beijing-Capital International Airport (PEK/ZBAA), China",XW126,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20000927-1,,,,,,,,,,,,,,
Preliminary - official,Thursday 22 June 2000,14:51,Xian Yunshuji Y-7-100C,Wuhan Airlines, B-3479, 06708, 1988, 2 Harbin WJ-5A-1,Fatalities: 4 / Occupants: 4,Fatalities: 38 / Occupants: 38,Fatalities: 42 / Occupants: 42 , Destroyed, Written off (damaged beyond repair),"ca 25 km from Wuhan (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Enshi Airport (ENH/ZHES), China","Wuhan Tianhe International Airport (WUH/ZHHH), China", 343,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20000622-0,,13900,11800,,,,,,,Fatalities: 7,,,,
