status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
,Monday 4 April 1983,,Beechcraft 200 Super King Air,Total, F-BVRP, BB-38, 1975, 2 Pratt & Whitney Canada PT6A-41,Fatalities: 3 / Occupants: 3,Fatalities: 5 / Occupants: 5,Fatalities: 8 / Occupants: 8 , Damaged beyond repair,,"near Guangzhou Baiyun International Airport (CAN) (   China) 
", Initial climb (ICL),Executive,"Guangzhou Baiyun International Airport (CAN/ZGGG), China","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19830404-0,,,,,,,,,,,,,,
,Friday 24 December 1982,17:10,Ilyushin Il-18B,CAAC, B-202, 189001401, 1959,,Fatalities: 0 / Occupants: 11,Fatalities: 25 / Occupants: 58,Fatalities: 25 / Occupants: 69 , Damaged beyond repair,,"Guangzhou-Baiyun Airport (CAN) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Changsha-Huanghua Airport (CSX/ZGHA), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",2311,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19821224-0,,,,,,,,,,,,,,
,Monday 26 April 1982,ca. 16:45,Hawker Siddeley HS-121 Trident 2E,CAAC, B-266, 2170, 1975, 3 Rolls-Royce Spey 512,Fatalities: 8 / Occupants: 8,Fatalities: 104 / Occupants: 104,Fatalities: 112 / Occupants: 112 , Destroyed, Written off (damaged beyond repair),"near Yangsuo (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Guilin-Qifengling Airport (KWL/ZGKL), China",3303,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19820426-0,,,,,,,,,,,,,,
,Thursday 20 March 1980,,Antonov An-24RV,CAAC, B-484, 47309403, 1974, 2 Ivchenko AI-24VT,Fatalities: 7 / Occupants: 7,Fatalities: 19 / Occupants: 19,Fatalities: 26 / Occupants: 26 , Damaged beyond repair,,"near Changsha Airport (CSX) (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Guiyang Airport (KWE/ZUGY), China","Changsha-Huanghua Airport (CSX/ZGHA), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19800320-0,,,,,,,,,,,,,,
,Wednesday 14 March 1979,ca 08:52,Hawker Siddeley HS-121 Trident 2E,CAAC, B-274, 2172, 1976, 3 Rolls-Royce Spey 512,Fatalities: 12 / Occupants: 12,Fatalities: 0 / Occupants: 0,Fatalities: 12 / Occupants: 12 , Damaged beyond repair,,"Beijing (   China) 
", Initial climb (ICL),Training,"Beijing Xijiao Airport (ZBBB), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19790314-1,,,,,,,,,,Fatalities: 32,,,,
,Wednesday 21 January 1976,,Antonov An-24RV,CAAC, B-492, 47309409, 1974,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 40 / Occupants: 40 , Damaged beyond repair,,"near Changsha-Huanghua Airport (CSX) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Changsha-Huanghua Airport (CSX/ZGHA), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19760121-0,,,,,,,,,,,,,,
,Sunday 14 January 1973,,Ilyushin Il-14,CAAC, 644, , ,,Fatalities: 7 / Occupants: 7,Fatalities: 22 / Occupants: 22,Fatalities: 29 / Occupants: 29 , Damaged beyond repair,,"near Guiyang (   China) 
", Unknown (UNK),Passenger,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19730114-0,,,,,,,,,,,,,,
,Thursday 11 June 1964,,Lockheed RB-69A Neptune,Republic of China Air Force - ROCAF, 54-4037, 726-7047, ,,Fatalities: 13 / Occupants: 13,Fatalities: 0 / Occupants: 0,Fatalities: 13 / Occupants: 13 , Damaged beyond repair,,"near Yantai, Shantung Peninsula (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19640611-2,,,,,,,,,,,,,,
,Wednesday 19 June 1963,,Lockheed RB-69A Neptune,Republic of China Air Force - ROCAF, 54-4041, 726-7105, ,,Fatalities: 14 / Occupants: 14,Fatalities: 0 / Occupants: 0,Fatalities: 14 / Occupants: 14 , Damaged beyond repair,,"Linchuan, Jiangxi (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19630619-0,,,,,,,,,,,,,,
,Monday 10 June 1963,,Douglas C-47A-40-DL (DC-3),Union of Burma Airways, XY-ACS, 9877, 1944, 2 Pratt & Whitney R-1830-92,Fatalities: 5 / Occupants: 5,Fatalities: 15 / Occupants: 15,Fatalities: 20 / Occupants: 20 , Damaged beyond repair,,"Mt. Kaolokung (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Yangon-Mingaladon Airport (RGN/VYYY), Myanmar","Putao Airport (PBU/VYPT), Myanmar",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19630610-0,,,,,,,,,,,,,,
,Monday 8 January 1962,,Lockheed RB-69A Neptune,Republic of China Air Force - ROCAF, 54-4038, 726-7097, ,,Fatalities: 14 / Occupants: 14,Fatalities: 0 / Occupants: 0,Fatalities: 14 / Occupants: 14 , Damaged beyond repair,,"Korea Bay (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19620108-0,,,,,,,,,,,,,,
,Monday 6 November 1961,,Lockheed RB-69A Neptune,Republic of China Air Force - ROCAF, 54-4039, 726-7099, ,,Fatalities: 14 / Occupants: 14,Fatalities: 0 / Occupants: 0,Fatalities: 14 / Occupants: 14 , Damaged beyond repair,,"Shantung Province (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19611106-0,,,,,,,,,,,,,,
Preliminary,Tuesday 26 September 1961,,Shijiazhuang Y-5,CAAC, 18188, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 10 / Occupants: 10,Fatalities: 15 / Occupants: 15 , Damaged beyond repair,,"Qinglongshan, Henan Province (   China) 
", En route (ENR),Passenger,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19610926-0,,,,,,,,,,,,,,
,Saturday 5 April 1958,,Ilyushin Il-14,CAAC, 632, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 9 / Occupants: 9,Fatalities: 14 / Occupants: 14 , Damaged beyond repair,,"70 km (43.8 mls) from  Xi'an (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Beijing-Capital International Airport (PEK/ZBAA), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19580405-0,,,,,,,,,,,,,,
,Friday 23 July 1954,ca 09:00,Douglas C-54A-10-DC (DC-4),Cathay Pacific Airways, VR-HEU, 10310, 1944,,Fatalities: 2 / Occupants: 5,Fatalities: 8 / Occupants: 13,Fatalities: 10 / Occupants: 18 , Damaged beyond repair,,"off Hainan Island (   China) 
", En route (ENR),International Scheduled Passenger,"Bangkok-Don Muang International Airport (BKK/VTBD), Thailand","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19540723-0,,15279,,,,,,,,,,,,
,Monday 27 July 1953,ca 12:30,Ilyushin Il-12,Soviet Navy, registration unknown, , ,,Fatalities: 6 / Occupants: 6,Fatalities: 15 / Occupants: 15,Fatalities: 21 / Occupants: 21 , Damaged beyond repair,,"4 km (2.5 mls) from  Mao-erh-shan (   China) 
", En route (ENR),Military,"Port Artur, China","Vladivostok Airport (VVO/UHWW), Russia",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19530727-0,,,,,,,,,,,,,,
,Sunday 18 January 1953,,Martin PBM-5G Mariner,United States Coast Guard, 84738, , ,,Fatalities: 5 / Occupants: 8,Fatalities: 4 / Occupants: 11,Fatalities: 9 / Occupants: 19 , Damaged beyond repair,,"off Shantou [Formosa Strait] (   China) 
", Takeoff (TOF),Military,"Sangley Point NAS (NSP/RPLS), Philippines",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19530118-1,,,,,,,,,,,,,,
,Sunday 18 January 1953,,Lockheed P2V-5 Neptune,United States Navy, 127744, 426-5078, ,,Fatalities: 2 / Occupants: 13,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 13 , Damaged beyond repair,,"off Shantou [Formosa Strait] (   China) 
", En route (ENR),Military,"Okinawa-Naha NAS (OKA/ROAH), Japan","Okinawa-Naha NAS (OKA/ROAH), Japan",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19530118-0,,,,,,,,,,,,,,
,Saturday 29 November 1952,,Douglas C-47 (DC-3),Civil Air Transport, registration unknown, , ,,Fatalities: 2 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 4 , Damaged beyond repair,,"within Jilin province (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19521129-0,,,,,,,,,,,,,,
,Saturday 10 December 1949,,Curtiss C-46D-20-CU Commando,Civil Air Transport, XT-814, 22347, 1945,,Fatalities: 5 / Occupants: 5,Fatalities: 12 / Occupants: 35,Fatalities: 17 / Occupants: 40 , Damaged beyond repair,,"Haikou (   China) 
", Unknown (UNK),Domestic Non Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Haikou Airport (HAK/ZGHK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19491210-0,,,,,,,,,,,,,,
,Friday 9 December 1949,,Curtiss C-46D-20-CU Commando,Civil Air Transport, XT-820, 22354, 1945,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 38 / Occupants: 38 , Damaged beyond repair,,"near Lanzhou (   China) 
", Unknown (UNK),Passenger,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19491209-0,,,,,,,,,,,,,,
,Thursday 2 June 1949,,Curtiss C-46 Commando,Central Air Transport, XT-520, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"320 km (200 mls) N of Chongqing (   China) 
", Unknown (UNK),Unknown,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19490602-0,,,,,,,,,,,,,,
,Friday 24 December 1948,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 5 / Occupants: 5 , Damaged beyond repair,,"SE of Fuzhou (   China) 
", En route (ENR),Military,"Hankou, China","Fuzhou Yixu Air Base, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19481224-4,,,,,,,,,,,,,,
,Sunday 5 December 1948,,Curtiss C-46 Commando,Central Air Transport, XT-538, , ,,Fatalities: 2 / Occupants: 3,Fatalities: 7 / Occupants: 37,Fatalities: 9 / Occupants: 40 , Damaged beyond repair,,"Kiangwan (   China) 
", Unknown (UNK),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Shanghai (unknown airport), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19481205-0,,,,,,,,,,,,,,
,Thursday 29 July 1948,,Curtiss C-46D-20-CU Commando,Civil Air Transport, XT-822, 22355, 1945,,Fatalities: 3 / Occupants: 3,Fatalities: 16 / Occupants: 16,Fatalities: 19 / Occupants: 19 , Damaged beyond repair,,"Qingdao Airport (TAO) (   China) 
", Initial climb (ICL),Domestic Scheduled Passenger,"Qingdao Airport (TAO/ZSQD), China","Jinan Airport (TNA/ZSTN), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19480729-0,,,,,,,,,,,,,,
,Friday 16 July 1948,,Consolidated PBY-5A Catalina,Cathay Pacific Airways, VR-HDT, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 22 / Occupants: 23,Fatalities: 25 / Occupants: 26 , Damaged beyond repair,,"ca 6 km NE off Kau Chau Island (   China) 
", En route (ENR),International Scheduled Passenger,"Porto Exterior Seaplane Base, Macau","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19480716-0,Macau Air Transport Company - MATCO,,,,,,,,,,,,,
,Tuesday 20 January 1948,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 11 / Occupants: 54 , Damaged beyond repair,,"Mukden Airport (SHE) (   China) 
", Takeoff (TOF),Domestic Non Scheduled Passenger,"Mukden Airport (SHE/ZYTK), China","Beijing-Nanyuan Airport (NAY/ZBNY), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19480120-0,,,,,,,,,,,,,,
,Saturday 6 December 1947,,Curtiss C-46 Commando,Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 10 / Occupants: 40 , Damaged beyond repair,,"near Chongqing Airport (   China) 
", Initial climb (ICL),Military,"Chongqing Baishiyi Air Base, China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19471206-0,,,,,,,,,,,,,,
,Monday 27 October 1947,ca 12:00,Douglas DC-3,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities: 2 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 3 , Damaged beyond repair,,"near Yulin (   China) 
", Unknown (UNK),Cargo,?,"Yulin Airport (UYN/ZLYL), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19471027-0,,,,,,,,,,,,,,
,Friday 17 October 1947,,Douglas DC-3,Civil Air Transport, registration unknown, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"48 km (30 mls) SW of Baoding (   China) 
", Unknown (UNK),Cargo,"Shijiazhuang-Daguocun Airport (SJW/ZBSJ), China","Peiping, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19471017-1,,,,,,,,,,,,,,
,Thursday 31 July 1947,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 26 / Occupants: 26 , Damaged beyond repair,,"within Yumen province (   China) 
", En route (ENR),Military,"Ti-hua, China","Lanzhou Airport (LHW/ZLLL), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470731-0,,,,,,,,,,,,,,
,Friday 25 April 1947,,unknown,China National Aviation Corporation - CNAC, ..-141, , ,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 2 , Damaged beyond repair,,"Shanghei-Lungwha Airport (   China) 
", Initial climb (ICL),Cargo,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470425-0,,,,,,,,,,Fatalities: 3,,,,
,Friday 21 February 1947,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 21 / Occupants: 21 , Damaged beyond repair,,"near Chongqing (   China) 
", Unknown (UNK),Military,"Sichang, China","Peishiyi Airfield, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470221-0,,,,,,,,,,,,,,
,Thursday 6 February 1947,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 9 / Occupants: 11 , Damaged beyond repair,,"near Chongqing Airport (CKG) (   China) 
", Unknown (UNK),Military,"Xian-Xiguan Airport (SIA/ZLXG), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470206-1,,,,,,,,,,,,,,
,Tuesday 28 January 1947,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities: 2 / Occupants: 2,Fatalities: 23 / Occupants: 24,Fatalities: 25 / Occupants: 26 , Damaged beyond repair,,"near Hankou (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Hankou, China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470128-0,,,,,,,,,,,,,,
,Saturday 25 January 1947,,Douglas DC-3,China National Aviation Corporation - CNAC, 138, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 16 / Occupants: 16,Fatalities: 19 / Occupants: 19 , Damaged beyond repair,,"190 km (118.8 mls) S of Chongqing (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470125-2,,,,,,,,,,,,,,
,Sunday 5 January 1947,,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, XT-T51/121, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 38 / Occupants: 38,Fatalities: 43 / Occupants: 43 , Destroyed, Written off (damaged beyond repair),"W of Qingdao (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Shanghai (unknown airport), China","Qingdao Airport (TAO/ZSQD), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19470105-1,,,,,,,,,,,,,,
,Wednesday 25 December 1946,,Douglas C-47 (DC-3),Central Air Transport, 48, , ,,Fatalities: 4 / Occupants: 4,Fatalities: 7 / Occupants: 7,Fatalities: 11 / Occupants: 11 , Damaged beyond repair,,"3 km (1.9 mls) N of Shanghai-Jiangwan Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai-Jiangwan Airport, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19461225-3,,,,,,,,,,Fatalities: 1,,,,
,Wednesday 25 December 1946,ca 22:00,Curtiss C-46 Commando,China National Aviation Corporation - CNAC, 115, , ,,Fatalities: 1 / Occupants: 3,Fatalities: 30 / Occupants: 33,Fatalities: 31 / Occupants: 36 , Damaged beyond repair,,"Shanghai-Longhua Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai/Longhua (ZSSL), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19461225-1,,,,,,,,,,,,,,
,Wednesday 25 December 1946,ca 20:00,Douglas C-47 (DC-3),China National Aviation Corporation - CNAC, 140, , ,,Fatalities: 2 / Occupants: 3,Fatalities: 17 / Occupants: 27,Fatalities: 19 / Occupants: 30 , Damaged beyond repair,,"Shanghai-Jiangwan Airport (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shanghai-Jiangwan Airport, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19461225-0,,,,,,,,,,,,,,
,Monday 16 December 1946,,Douglas DC-3,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 5 / Occupants: 5 , Damaged beyond repair,,"Shanghai-Longhua Airport (   China) 
", Unknown (UNK),Unknown,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19461216-0,,,,,,,,,,,,,,
,Friday 20 September 1946,,unknown,China National Aviation Corporation - CNAC, registration unknown, , ,,Fatalities: 3 / Occupants: 3,Fatalities: 28 / Occupants: 28,Fatalities: 31 / Occupants: 31 , Damaged beyond repair,,"near Xichang, Sichuan Province (   China) 
", En route (ENR),Passenger,"Xichang Airport (XIC/ZUXC), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460920-0,,,,,,,,,,,,,,
,Saturday 13 July 1946,,Curtiss C-46 Commando,Central Air Transport, registration unknown, , ,,Fatalities: 2 / Occupants: ,Fatalities: 11 / Occupants: ,Fatalities: 13 / Occupants: 49 , Damaged beyond repair,,"1,6 km (1 mls) from  Jinan Airport (TNA) (   China) 
", Initial climb (ICL),Domestic Scheduled Passenger,"Jinan Airport (TNA/ZSTN), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460713-0,,,,,,,,,,,,,,
,Monday 8 April 1946,,Douglas C-47B-1-DL (DC-3),United States Army Air Force - USAAF, 43-16360, 20826, 1944, 2 Pratt & Whitney R-1830-90C,Fatalities: 4 / Occupants: 4,Fatalities: 13 / Occupants: 13,Fatalities: 17 / Occupants: 17 , Damaged beyond repair,,"near Shensi (   China) 
", En route (ENR),Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Yan'an Ershilipu Airport (ENY/ZLYA), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460408-0,,,,,,,,,,,,,,
,Sunday 17 March 1946,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 20 / Occupants: 20 , Damaged beyond repair,,"Nanjing (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460317-0,,,,,,,,,,,,,,
,Tuesday 29 January 1946,,Curtiss C-46D-15-CU Commando,United States Army Air Force - USAAF, 44-78226, 33622, 1945,,Fatalities: 4 / Occupants: 4,Fatalities: 8 / Occupants: 8,Fatalities: 12 / Occupants: 12 , Damaged beyond repair,,"5 km (3.1 mls) N of Lo-tien-Chen (   China) 
", Unknown (UNK),Military,"Jinan Airport (TNA/ZSTN), China","Shanghai-Jiangwan Airport, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460129-1,,,,,,,,,,,,,,
,Saturday 26 January 1946,,Douglas C-47 (DC-3),United States Army Air Force - USAAF, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"near Nanking (Nanjing) (   China) 
", Approach (APR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460126-1,,,,,,,,,,,,,,
,Wednesday 9 January 1946,,Douglas C-47 (DC-3),Republic of China Air Force, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 18 / Occupants: 18 , Damaged beyond repair,,"Changchun (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19460109-0,,,,,,,,,,,,,,
,Tuesday 30 October 1945,ca 19:15,Curtiss C-46A-60-CK Commando,United States Army Air Force - USAAF, 43-47228, 299, 1945, 2 Pratt & Whitney R-2800-51,Fatalities: 3 / Occupants: 4,Fatalities: 42 / Occupants: 46,Fatalities: 45 / Occupants: 50 , Damaged beyond repair,,"near Zhijiang (   China) 
", En route (ENR),Military,"Huaihua Zhijiang Airport (HJJ/ZGCJ), China","Shanghai (unknown airport), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19451030-1,,,,,,,,,,,,,,
,Saturday 20 October 1945,,Douglas DC-3C,China National Aviation Corporation - CNAC, 104, 20868, 1944,,Fatalities: 6 / Occupants: 6,Fatalities: 7 / Occupants: 7,Fatalities: 13 / Occupants: 13 , Damaged beyond repair,,"20 km (12.5 mls) NE of Suichang (   China) 
", En route (ENR),Passenger,"Shanghai (unknown airport), China","Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19451020-3,,,,,,,,,,Fatalities: 7,,,,
,Friday 12 October 1945,ca 11:30,Curtiss C-46F-1-CU Commando,United States Army Air Force - USAAF, 44-78591, 22414, 1945,,Fatalities: 4 / Occupants: 4,Fatalities: 55 / Occupants: 55,Fatalities: 59 / Occupants: 59 , Damaged beyond repair,,"25 km (15.6 mls) WNW Beijing-Nanyuan Airport (NAY) (   China) 
", Approach (APR),Military,"Hankou, China","Beijing-Nanyuan Airport (NAY/ZBNY), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19451012-0,,,,,,,,,,,,,,
,Friday 5 October 1945,,Douglas C-47B-20-DK (DC-3),United States Army Air Force - USAAF, 43-49646, 26907/15462, 1945, 2 Pratt & Whitney R-1830-90C,Fatalities: 4 / Occupants: 4,Fatalities: 2 / Occupants: 2,Fatalities: 6 / Occupants: 6 , Missing, Presumed damaged beyond repair,"between Kunming and Hankou (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Hankou, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19451005-1,,,,,,,,,,,,,,
,Saturday 29 September 1945,,Douglas C-47B-1-DL (DC-3),United States Army Air Force - USAAF, 43-16422, 20888, 1944, 2 Pratt & Whitney R-1830-90C,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 3 / Occupants:  , Damaged beyond repair,,"75 km (46.9 mls) S of Hsian (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450929-1,,,,,,,,,,,,,,
